school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
Nelson High School,Public,85,-5,8,1,15,0
Oakville Trafalgar High School,Public,92,-2,10,0,35,9
Robert Bateman High School,Public,72,5,11,1,25,2
Thomas A Blakelock High School,Public,83,-4,12,2,34,5
White Oaks High School,Public,92,1,15,3,63,9
Bishop Ryan Catholic Secondary School,Catholic,82,-1,14,6,19,4
Bishop Tonnos Catholic Secondary School,Catholic,82,-3,9,4,12,1
Cardinal Newman Catholic Secondary School,Catholic,74,-11,12,7,15,2
Cathedral High School,Catholic,68,10,33,21,31,14
St. Jean de Brebeuf Catholic Secondary School,Catholic,78,3,19,8,25,8
St. Mary Catholic Secondary School,Catholic,81,-5,11,4,10,2
St. Thomas More Catholic Secondary School,Catholic,82,3,17,7,26,8
Ancaster High School,Public,83,-4,8,4,17,2
Dundas Valley Secondary School,Public,79,-1,9,1,6,0
Glendale Secondary School,Public,67,3,26,10,45,10
Nora Henderson Secondary School,Public,45,-8,22,10,40,17
Orchard Park Secondary School,Public,87,7,11,6,42,1
Saltfleet High School,Public,81,8,12,5,30,1
Sherwood Secondary School,Public,64,-2,18,8,12,1
Sir Allan MacNab Secondary School,Public,60,-4,19,8,22,3
Sir Winston Churchill Secondary School,Public,49,-11,28,16,11,2
Waterdown District High School,Public,81,-2,7,1,8,1
Westdale Secondary School,Public,84,-2,17,6,22,3
Westmount Secondary School,Public,88,-1,16,7,32,2
Bayside Secondary School,Public,81,0,12,5,7,0
Centennial Secondary School,Public,58,-18,16,8,7,1
Centre Hastings Secondary School,Public,69,17,22,7,1,0
Eastside Secondary School,Public,60,-2,16,7,7,0
North Hastings High School,Public,80,23,20,15,0,0
Prince Edward Collegiate Institute,Public,63,-6,20,5,0,0
Trenton High School,Public,58,-6,20,9,2,1
St Anne's Catholic School,Catholic,67,-17,9,7,3,1
St Michael Catholic Secondary School,Catholic,79,-3,8,5,3,2
St Mary's College Separate School,Catholic,80,8,14,5,2,1
Northern Lights Secondary School,Public,69,63,15,20,0,0
Adam Scott Collegiate and Vocational Institute,Public,84,14,15,5,3,1
Bowmanville High School,Public,73,-4,9,4,4,1
Campbellford District High School,Public,72,-3,18,8,0,0
Clarington Central Secondary School,Public,76,7,9,2,4,2
Clarke High School,Public,87,3,10,5,0,0
Cobourg Collegiate Institute,Public,88,10,11,1,2,1
Courtice Secondary School,Public,76,-5,5,4,5,1
Crestwood Secondary School,Public,66,-8,8,2,4,0
