school_name,school_type,osslt10,low_inc,no_deg,esl,imm
Belle River District High School,Public,82,8,3,5,0
Essex District High School,Public,80,7,3,2,0
Hon W C Kennedy Collegiate Institute,Public,54,38,17,41,7
Kingsville District High School,Public,88,8,12,3,1
Leamington District Secondary School,Public,77,14,28,29,9
Riverside Secondary School,Public,79,19,8,24,4
Sandwich Secondary School,Public,88,10,3,12,1
Tecumseh Vista Academy- Secondary,Public,93,8,2,12,2
Vincent Massey Secondary School,Public,88,20,5,47,5
W. F. Herman Academy Secondary School,Public,69,28,10,18,7
Walkerville Collegiate Institute,Public,78,30,12,7,0
Westview Freedom Academy Secondary School,Public,34,39,16,51,27
Assumption Catholic Secondary School,Catholic,92,11,2,18,4
Bishop Paul Francis Reding Catholic Secondary School,Catholic,92,10,5,36,3
Christ the King Catholic Secondary School,Catholic,88,5,2,6,0
Corpus Christi Catholic Secondary School,Catholic,92,8,1,16,2
Holy Trinity Catholic Secondary School,Catholic,94,13,2,20,4
Notre Dame Catholic Secondary School,Catholic,88,8,2,11,2
St. Francis Xavier Catholic Secondary School,Catholic,84,15,3,31,5
St. Ignatius of Loyola Catholic Secondary School,Catholic,90,13,1,23,5
St. Kateri Tekakwitha Catholic Secondary Catholic School,Catholic,90,15,5,30,0
St. Thomas Aquinas Catholic Secondary School,Catholic,92,13,2,21,7
Abbey Park High School,Public,93,16,1,48,7
Acton District High School,Public,78,5,0,10,0
Aldershot High School,Public,94,10,4,26,2
Burlington Central High School,Public,94,15,4,36,7
Craig Kielburger Secondary School,Public,87,12,4,42,5
Dr. Frank J. Hayden Secondary School,Public,92,8,1,31,2
Elsie MacGill Secondary School,Public,89,20,0,55,5
Garth Webb Secondary School,Public,96,12,1,44,8
Georgetown District High School,Public,91,5,2,12,1
Iroquois Ridge High School,Public,96,14,0,55,8
M M Robinson High School,Public,86,8,3,19,1
Milton District High School,Public,96,12,2,41,3
Nelson High School,Public,88,8,1,16,1
Oakville Trafalgar High School,Public,98,9,0,39,6
Thomas A Blakelock High School,Public,94,11,2,34,5
White Oaks High School,Public,92,15,3,69,12
Bishop Ryan Catholic Secondary School,Catholic,84,13,5,19,3
Bishop Tonnos Catholic Secondary School,Catholic,83,9,4,14,3
Cathedral High School,Catholic,55,32,19,27,9
St. Jean de Brebeuf Catholic Secondary School,Catholic,77,20,9,26,6
St. John Henry Newman Catholic Secondary School,Catholic,83,12,8,15,3
St. Mary Catholic Secondary School,Catholic,84,12,3,9,3
St. Thomas More Catholic Secondary School,Catholic,68,17,7,26,6
Ancaster High School,Public,88,8,3,22,3
Bernie Custis Secondary School Secondary School,Public,51,36,22,26,8
Dundas Valley Secondary School,Public,82,10,2,7,1
Glendale Secondary School,Public,73,26,9,40,7
Nora Frances Henderson,Public,67,22,10,43,14
Orchard Park Secondary School,Public,85,11,7,39,1
Saltfleet High School,Public,79,12,4,33,3
Sherwood Secondary School,Public,76,18,7,12,2
Sir Allan MacNab Secondary School,Public,58,19,8,25,3
Sir Winston Churchill Secondary School,Public,52,30,17,11,1
Waterdown District High School,Public,85,7,2,10,0
Westdale Secondary School,Public,80,21,8,29,5
Westmount Secondary School,Public,90,16,7,38,1
Bayside Secondary School,Public,88,12,6,5,0
Centennial Secondary School,Public,81,16,8,5,1
Central Hastings School Secondary School,Public,76,20,5,0,0
Eastside Secondary School,Public,68,15,7,6,0
North Hastings High School,Public,69,15,10,0,0
Prince Edward Collegiate Institute,Public,76,15,5,0,0
Trenton High School,Public,63,20,10,5,0
St Anne's Catholic Secondary School,Catholic,87,9,7,3,1
St Michael Catholic Secondary School,Catholic,87,8,5,1,0
St Mary's College Separate School,Catholic,80,16,6,4,3
Northern Lights Secondary School,Public,68,15,15,0,0
Adam Scott Collegiate and Vocational Institute,Public,79,16,7,5,0
Bowmanville High School,Public,88,8,4,4,1
Campbellford District High School,Public,77,20,5,0,0
Clarington Central Secondary School,Public,81,8,2,6,1
Clarke High School,Public,86,10,0,0,0
Cobourg Collegiate Institute,Public,86,12,1,3,1
Courtice Secondary School,Public,82,6,3,6,1
Crestwood Secondary School,Public,81,7,1,4,0
East Northumberland Secondary School,Public,88,10,4,0,0
Kenner Collegiate and Vocational Institute,Public,77,21,7,8,0
Norwood District High School,Public,76,15,10,0,0
Port Hope High School,Public,76,10,5,5,0
Thomas A Stewart Secondary School,Public,77,13,3,3,2
Beaver Brae Secondary School,Public,65,8,7,0,0
Dryden High School,Public,81,8,6,1,0
Ignace Secondary School,Public,80,20,10,10,0
Red Lake District High School,Public,87,0,15,0,0
Sioux North High School,Public,56,5,17,2,0
St Thomas Aquinas High School,Catholic,80,10,5,0,0
Hammarskjold High School,Public,80,16,8,5,3
Superior Collegiate and Vocational Institute,Public,81,15,6,7,3
Westgate Collegiate and Vocational Institute,Public,84,13,7,3,0
Alexander Mackenzie Secondary School,Public,46,15,0,0,0
Blenheim District High School,Public,78,10,5,0,0
Chatham-Kent Secondary School,Public,70,16,7,6,1
Great Lakes Secondary School,Public,75,22,6,5,1
John McGregor Secondary School,Public,58,20,6,4,1
Lambton Central Collegiate and Vocational Institute,Public,93,9,2,3,0
Lambton Kent Composite School,Public,74,14,12,2,1
North Lambton Secondary School,Public,80,10,5,0,0
Northern Collegiate Institute and Vocational School,Public,88,9,2,8,1
Ridgetown District High School,Public,80,10,10,0,0
Tilbury District High School,Public,78,10,25,35,0
Wallaceburg District Secondary School,Public,75,17,13,3,0
Bayridge Secondary School,Public,76,7,2,14,2
Ernestown Secondary School,Public,79,5,0,0,0
Frontenac Secondary School,Public,82,7,3,5,1
Granite Ridge Education Centre Secondary School,Public,66,20,15,0,0
Kingston Secondary School,Public,83,23,6,11,1
La Salle Secondary School,Public,80,5,2,4,1
Loyalist Collegiate and Vocational Institute,Public,61,24,5,26,11
Napanee District Secondary School,Public,83,14,4,2,0
North Addington Education Centre,Public,53,25,15,0,0
Sydenham High School,Public,90,7,2,1,0
Catholic Central High School,Catholic,81,23,9,29,14
Holy Cross Catholic Secondary School,Catholic,86,10,0,0,0
John Paul II Catholic Secondary School,Catholic,73,26,17,25,16
Mother Teresa Catholic Secondary School,Catholic,90,18,4,26,8
Regina Mundi College,Catholic,72,22,8,18,4
St Joseph's High School,Catholic,88,10,6,3,1
St Mary's High School,Catholic,76,9,8,4,3
St Thomas Aquinas Secondary School,Catholic,90,10,1,7,3
St. Andre Bessette Secondary School,Catholic,86,17,2,21,6
Almaguin Highlands Secondary School,Public,63,20,10,1,0
Chippewa Secondary School,Public,79,13,4,5,2
F J McElligott Secondary School,Public,81,15,5,5,0
Northern Secondary School,Public,82,20,10,0,0
Parry Sound High School,Public,83,15,5,1,0
West Ferris Secondary School,Public,86,16,3,2,0
Blessed Trinity Catholic Secondary School,Catholic,90,8,2,5,0
Denis Morris Catholic High School,Catholic,91,18,8,15,5
Holy Cross Catholic Secondary School,Catholic,87,16,6,20,5
Lakeshore Catholic High School,Catholic,86,16,5,3,0
Notre Dame College School,Catholic,84,15,3,8,2
Saint Francis Catholic Secondary School,Catholic,85,16,6,17,4
Saint Michael Catholic High School,Catholic,79,17,7,23,4
Saint Paul Catholic High School,Catholic,85,15,6,18,3
St Joseph-Scollard Hall Secondary School,Catholic,85,13,4,2,1
O'Gorman High School,Catholic,91,10,10,10,0
All Saints Catholic High School,Catholic,95,7,1,13,2
