year,country,math,read,science
2000,CHL,304.48,384.19,341.09
2000,CHL,352.59,374.24,455.72
2000,CHL,381.56,351.47,323.05
2000,CHL,340.38,339.7,369.12
2000,CHL,228.18,366.06,410.61
2000,CHL,253.37,253.35,295.15
2000,CHL,399.88,364.19,294.18
2000,CHL,268.64,264.26,427.75
2000,CHL,269.37,300.57,378.07
2000,CHL,380.04,376.92,339.28
2000,CHL,456.36,414.18,370.86
2000,CHL,447.23,475.13,448.5
2000,CHL,405.22,453.27,499.85
2000,CHL,344.96,467.86,450.31
2000,CHL,467.81,420.55,434
2000,CHL,351.8,313.29,341.09
2000,CHL,396.86,448.77,438.58
2000,CHL,451.78,406,452.94
2000,CHL,336.56,311.52,439.48
2000,CHL,372.4,418.73,378.97
2000,CHL,247.26,343.34,417.83
2000,CHL,370.11,391.46,355.52
2000,CHL,428.12,387.82,340.18
2000,CHL,393.81,455.13,438.58
2000,CHL,351.83,486.95,509.84
2000,CHL,281.58,446,471.89
2000,CHL,527.34,468.72,466.47
2000,CHL,267.87,286.07,283.42
2000,CHL,314.43,399.69,383.55
2000,CHL,474.71,466.95,535.1
2000,CHL,475.44,515.98,434.9
2000,CHL,298.37,388.73,436.71
2000,CHL,273.98,367.88,449.4
2000,CHL,467.81,441.45,431.29
2000,CHL,373.17,389.64,387.09
2000,CHL,275.47,390.55,381.68
2000,CHL,462.5,411.51,532.39
2000,CHL,247.26,305.16,287.03
2000,CHL,494.52,444.18,384.39
2000,CHL,296.11,377.87,435.87
2000,CHL,400.67,480.58,557.65
2000,CHL,441.13,510.58,434.07
2000,CHL,383.88,471.5,407.91
2000,CHL,434.26,534.21,454.82
2000,CHL,429.65,428.73,317.63
2000,CHL,538.79,475.08,463.77
2000,CHL,537.26,522.35,416.86
2000,CHL,373.17,436,472.79
2000,CHL,457.15,546.03,465.64
2000,CHL,431.94,431.45,419.57
2000,CHL,342.64,365.1,369.05
2000,CHL,374.72,320.61,269.89
2000,CHL,218.99,335.11,307.71
2000,CHL,377.78,406.96,453.91
2000,CHL,402.96,471.5,409.71
2000,CHL,402.17,460.54,386.19
2000,CHL,252.61,407.87,427.75
2000,CHL,283.11,396,366.34
2000,CHL,309.85,380.6,363.71
2000,CHL,301.45,484.22,386.26
2000,CHL,479.26,476.9,522.4
2000,CHL,439.6,413.32,471.05
2000,CHL,495.28,533.25,489.93
2000,CHL,292.3,286.07,281.62
2000,CHL,459.41,408.73,422.27
2000,CHL,367.82,352.38,300.49
2000,CHL,433.49,431.5,442.19
2000,CHL,430.41,436,356.42
2000,CHL,247.26,319.7,272.6
2000,CHL,286.16,309.66,334.77
2000,CHL,228.15,273.3,269.82
2000,CHL,299.16,312.43,310.48
2000,CHL,275.5,353.33,324.02
2000,CHL,476.97,495.99,560.29
2000,CHL,289.21,394.19,437.61
2000,CHL,241.92,309.7,366.41
2000,CHL,241.92,438.77,496.31
2000,CHL,473.18,501.49,458.42
2000,CHL,407.51,326.93,212.09
2000,CHL,349.54,384.24,361
2000,CHL,402.96,407.87,414.22
2000,CHL,415.91,406.91,379.88
2000,CHL,273.95,303.29,198.56
2000,CHL,353.35,416.96,392.57
