year,country,math,read,science
2000,HKG,677.73,642.38,570.28
2000,HKG,596.82,580.57,492.7
2000,HKG,486.13,511.44,536.84
2000,HKG,561.68,565.07,507.07
2000,HKG,590.72,604.2,546.83
2000,HKG,608.27,604.2,504.43
2000,HKG,519.71,456.9,457.45
2000,HKG,689.94,564.21,572.08
2000,HKG,464.79,502.4,515.25
2000,HKG,572.37,537.8,485.42
2000,HKG,444.91,417.82,395.21
2000,HKG,553.29,512.35,545.86
2000,HKG,370.88,359.65,443.92
2000,HKG,446.47,470.59,468.35
2000,HKG,356.41,226.99,303.27
2000,HKG,525.08,463.31,442.19
2000,HKG,489.97,396.96,446.7
2000,HKG,539.55,519.62,542.25
2000,HKG,621.98,539.62,567.51
2000,HKG,512.11,500.58,480.07
2000,HKG,612.82,531.44,555.78
2000,HKG,682.28,652.32,655.91
2000,HKG,663.23,587.84,500.82
2000,HKG,532.68,558.7,609
2000,HKG,565.53,583.29,475.56
2000,HKG,440.33,469.63,465.57
2000,HKG,572.4,496.95,464.74
2000,HKG,438.84,520.58,478.27
2000,HKG,510.58,449.68,476.47
2000,HKG,513.6,456.9,491.73
2000,HKG,408.31,413.32,380.85
2000,HKG,515.89,623.24,492.63
2000,HKG,531.19,412.41,377.24
2000,HKG,470.86,416.91,469.18
2000,HKG,424.3,486.9,501.66
2000,HKG,494.55,498.76,512.55
2000,HKG,399.12,388.73,429.49
2000,HKG,419.72,389.64,468.28
2000,HKG,526.61,504.22,568.48
2000,HKG,498.34,475.08,510.68
2000,HKG,456.39,485.13,465.64
2000,HKG,427.39,450.59,399.79
2000,HKG,467.81,492.35,517.89
2000,HKG,427.36,506.89,478.2
2000,HKG,587.67,590.57,509.84
2000,HKG,518.21,505.13,499.92
2000,HKG,589.16,511.44,529.62
2000,HKG,590.72,517.85,564.87
2000,HKG,523.55,465.13,406.1
2000,HKG,426.62,450.59,457.52
2000,HKG,499.1,503.26,505.26
2000,HKG,576.98,565.12,510.74
2000,HKG,511.34,473.31,400.69
2000,HKG,573.16,556.94,551.34
2000,HKG,694.49,623.24,636.97
2000,HKG,518.94,521.44,510.68
2000,HKG,548.71,500.53,540.44
2000,HKG,576.95,515.08,534.13
2000,HKG,400.64,418.73,456.55
2000,HKG,370.15,376.06,326.72
2000,HKG,491.5,390.6,378.14
2000,HKG,466.28,519.62,572.92
2000,HKG,553.32,403.33,501.72
2000,HKG,578.48,507.8,491.73
2000,HKG,500.63,621.42,615.32
2000,HKG,641.86,613.29,571.18
2000,HKG,712.8,677.77,691.09
2000,HKG,562.45,595.97,581.04
2000,HKG,493.76,533.25,545.86
2000,HKG,586.9,478.77,425.05
2000,HKG,599.88,527.85,600.05
2000,HKG,666.28,685.1,598.24
2000,HKG,645.64,615.06,636.06
2000,HKG,619.72,565.12,535.1
2000,HKG,617.4,678.68,669.44
2000,HKG,495.32,489.67,437.68
2000,HKG,540.31,495.08,542.25
2000,HKG,634.22,605.11,635.23
2000,HKG,534.21,502.35,495.34
2000,HKG,663.96,633.24,672.15
2000,HKG,636.51,567.84,600.05
2000,HKG,649.46,587.79,595.47
