"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Nova Scotia","2016A000212","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112103","5.2.4","34","","","","0"
"2018/2019","Nova Scotia","2016A000212","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112104","5.2.5","30","","","","0"
"2018/2019","Nova Scotia","2016A000212","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112105","5.2.6","37","","","","0"
"2018/2019","Nova Scotia","2016A000212","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112106","5.2.7","8","","","","0"
"2018/2019","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112107","5.3.1","370046","","","","0"
"2018/2019","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112108","5.3.2","99","","","","0"
"2018/2019","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112109","5.3.3","71","","","","0"
"2018/2019","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112110","5.3.4","34","","","","0"
"2018/2019","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112111","5.3.5","37","","","","0"
"2018/2019","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112112","5.3.6","29","","","","0"
"2018/2019","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112113","5.3.7","1","","","","0"
"2018/2019","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112114","5.4.1","1367941","","","","0"
"2018/2019","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112115","5.4.2","90","","","","0"
"2018/2019","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112116","5.4.3","61","","","","0"
"2018/2019","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112117","5.4.4","33","","","","0"
"2018/2019","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112118","5.4.5","28","","","","0"
