"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Prince Edward Island","2016A000211","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112068","4.1.4","72","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112069","4.1.5","12","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112070","4.1.6","15","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112071","4.1.7","7","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112072","4.2.1","255045","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112073","4.2.2","88","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112074","4.2.3","70","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112075","4.2.4","33","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112076","4.2.5","36","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112077","4.2.6","30","","","","0"
"2020/2021","Prince Edward Island","2016A000211","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112078","4.2.7","12","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112079","4.3.1","91878","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112080","4.3.2","96","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112081","4.3.3","67","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112082","4.3.4","32","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112083","4.3.5","35","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112084","4.3.6","33","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112085","4.3.7","4","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112086","4.4.1","163167","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112087","4.4.2","83","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112088","4.4.3","71","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112089","4.4.4","34","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112090","4.4.5","38","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112091","4.4.6","29","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112092","4.4.7","17","","","","0"
"2020/2021","Nova Scotia","2016A000212","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112093","5.1.1","2064650","","","","0"
"2020/2021","Nova Scotia","2016A000212","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112094","5.1.2","87","","","","0"
"2020/2021","Nova Scotia","2016A000212","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112095","5.1.3","82","","","","0"
"2020/2021","Nova Scotia","2016A000212","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112096","5.1.4","72","","","","0"
"2020/2021","Nova Scotia","2016A000212","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112097","5.1.5","10","","","","0"
"2020/2021","Nova Scotia","2016A000212","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112098","5.1.6","18","","","","0"
"2020/2021","Nova Scotia","2016A000212","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112099","5.1.7","13","","","","0"
"2020/2021","Nova Scotia","2016A000212","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112100","5.2.1","1673483","","","","0"
"2020/2021","Nova Scotia","2016A000212","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112101","5.2.2","94","","","","0"
"2020/2021","Nova Scotia","2016A000212","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112102","5.2.3","68","","","","0"
"2020/2021","Nova Scotia","2016A000212","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112103","5.2.4","36","","","","0"
"2020/2021","Nova Scotia","2016A000212","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112104","5.2.5","32","","","","0"
"2020/2021","Nova Scotia","2016A000212","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112105","5.2.6","32","","","","0"
"2020/2021","Nova Scotia","2016A000212","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112106","5.2.7","6","","","","0"
"2020/2021","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112107","5.3.1","401838","","","","0"
"2020/2021","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112108","5.3.2","95","","","","0"
"2020/2021","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112109","5.3.3","71","","","","0"
"2020/2021","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112110","5.3.4","35","","","","0"
"2020/2021","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112111","5.3.5","36","","","","0"
"2020/2021","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112112","5.3.6","29","","","","0"
"2020/2021","Nova Scotia","2016A000212","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112113","5.3.7","5","","","","0"
"2020/2021","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112114","5.4.1","1271645","","","","0"
"2020/2021","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112115","5.4.2","94","","","","0"
"2020/2021","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112116","5.4.3","67","","","","0"
"2020/2021","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112117","5.4.4","36","","","","0"
"2020/2021","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112118","5.4.5","30","","","","0"
"2020/2021","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112119","5.4.6","33","","","","0"
"2020/2021","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112120","5.4.7","6","","","","0"
"2020/2021","New Brunswick","2016A000213","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112121","6.1.1","1494872","","","","0"
"2020/2021","New Brunswick","2016A000213","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112122","6.1.2","95","","","","0"
"2020/2021","New Brunswick","2016A000213","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112123","6.1.3","81","","","","0"
"2020/2021","New Brunswick","2016A000213","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112124","6.1.4","70","","","","0"
"2020/2021","New Brunswick","2016A000213","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112125","6.1.5","11","","","","0"
"2020/2021","New Brunswick","2016A000213","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112126","6.1.6","19","","","","0"
"2020/2021","New Brunswick","2016A000213","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112127","6.1.7","5","","","","0"
"2020/2021","New Brunswick","2016A000213","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112128","6.2.1","899414","","","","0"
"2020/2021","New Brunswick","2016A000213","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112129","6.2.2","95","","","","0"
"2020/2021","New Brunswick","2016A000213","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112130","6.2.3","70","","","","0"
"2020/2021","New Brunswick","2016A000213","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112131","6.2.4","41","","","","0"
"2020/2021","New Brunswick","2016A000213","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112132","6.2.5","29","","","","0"
"2020/2021","New Brunswick","2016A000213","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112133","6.2.6","30","","","","0"
"2020/2021","New Brunswick","2016A000213","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112134","6.2.7","5","","","","0"
"2020/2021","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112135","6.3.1","314733","","","","0"
"2020/2021","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112136","6.3.2","100","","","","0"
"2020/2021","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112137","6.3.3","69","","","","0"
"2020/2021","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112138","6.3.4","41","","","","0"
"2020/2021","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112139","6.3.5","28","","","","0"
"2020/2021","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112140","6.3.6","31","","","","0"
"2020/2021","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112141","6.3.7","0","","","","0"
"2020/2021","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112142","6.4.1","584681","","","","0"
"2020/2021","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112143","6.4.2","93","","","","0"
"2020/2021","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112144","6.4.3","71","","","","0"
"2020/2021","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112145","6.4.4","41","","","","0"
"2020/2021","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112146","6.4.5","30","","","","0"
"2020/2021","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112147","6.4.6","29","","","","0"
"2020/2021","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112148","6.4.7","7","","","","0"
"2020/2021","Quebec","2016A000224","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112149","7.1.1","21156091","","","","0"
"2020/2021","Quebec","2016A000224","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112150","7.1.2","87","","","","0"
"2020/2021","Quebec","2016A000224","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112151","7.1.3","74","","","","0"
"2020/2021","Quebec","2016A000224","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112152","7.1.4","57","","","","0"
"2020/2021","Quebec","2016A000224","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112153","7.1.5","17","","","","0"
"2020/2021","Quebec","2016A000224","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112154","7.1.6","26","","","","0"
"2020/2021","Quebec","2016A000224","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112155","7.1.7","13","","","","0"
"2020/2021","Quebec","2016A000224","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112156","7.2.1","12690842","","","","0"
"2020/2021","Quebec","2016A000224","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112157","7.2.2","92","","","","0"
"2020/2021","Quebec","2016A000224","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112158","7.2.3","71","","","","0"
"2020/2021","Quebec","2016A000224","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112159","7.2.4","44","","","","0"
"2020/2021","Quebec","2016A000224","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112160","7.2.5","27","","","","0"
"2020/2021","Quebec","2016A000224","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112161","7.2.6","29","","","","0"
"2020/2021","Quebec","2016A000224","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112162","7.2.7","8","","","","0"
"2020/2021","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112163","7.3.1","4931126","","","","0"
"2020/2021","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112164","7.3.2","92","","","","0"
"2020/2021","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112165","7.3.3","73","","","","0"
"2020/2021","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112166","7.3.4","49","","","","0"
"2020/2021","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112167","7.3.5","24","","","","0"
"2020/2021","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112168","7.3.6","27","","","","0"
"2020/2021","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112169","7.3.7","8","","","","0"
"2020/2021","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112170","7.4.1","7759716","","","","0"
"2020/2021","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112171","7.4.2","93","","","","0"
"2020/2021","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112172","7.4.3","70","","","","0"
"2020/2021","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112173","7.4.4","41","","","","0"
"2020/2021","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112174","7.4.5","29","","","","0"
"2020/2021","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112175","7.4.6","30","","","","0"
"2020/2021","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112176","7.4.7","7","","","","0"
"2020/2021","Ontario","2016A000235","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112177","8.1.1","32746074","","","","0"
"2020/2021","Ontario","2016A000235","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112178","8.1.2","92","","","","0"
"2020/2021","Ontario","2016A000235","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112179","8.1.3","85","","","","0"
"2020/2021","Ontario","2016A000235","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112180","8.1.4","69","","","","0"
"2020/2021","Ontario","2016A000235","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112181","8.1.5","16","","","","0"
"2020/2021","Ontario","2016A000235","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112182","8.1.6","15","","","","0"
"2020/2021","Ontario","2016A000235","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112183","8.1.7","8","","","","0"
"2020/2021","Ontario","2016A000235","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112184","8.2.1","24420308","","","","0"
"2020/2021","Ontario","2016A000235","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112185","8.2.2","95","","","","0"
"2020/2021","Ontario","2016A000235","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112186","8.2.3","66","","","","0"
"2020/2021","Ontario","2016A000235","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112187","8.2.4","37","","","","0"
"2020/2021","Ontario","2016A000235","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112188","8.2.5","29","","","","0"
"2020/2021","Ontario","2016A000235","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112189","8.2.6","34","","","","0"
"2020/2021","Ontario","2016A000235","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112190","8.2.7","5","","","","0"
"2020/2021","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112191","8.3.1","8793485","","","","0"
"2020/2021","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112192","8.3.2","99","","","","0"
"2020/2021","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112193","8.3.3","64","","","","0"
"2020/2021","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112194","8.3.4","36","","","","0"
"2020/2021","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112195","8.3.5","27","","","","0"
"2020/2021","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112196","8.3.6","36","","","","0"
"2020/2021","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112197","8.3.7","1","","","","0"
"2020/2021","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112198","8.4.1","15626823","","","","0"
"2020/2021","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112199","8.4.2","93","","","","0"
"2020/2021","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112200","8.4.3","68","","","","0"
"2020/2021","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112201","8.4.4","38","","","","0"
"2020/2021","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112202","8.4.5","30","","","","0"
"2020/2021","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112203","8.4.6","32","","","","0"
"2020/2021","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112204","8.4.7","7","","","","0"
"2020/2021","Manitoba","2016A000246","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112205","9.1.1","3629088","","","","0"
"2020/2021","Manitoba","2016A000246","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112206","9.1.2","95","","","","0"
"2020/2021","Manitoba","2016A000246","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112207","9.1.3","84","","","","0"
"2020/2021","Manitoba","2016A000246","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112208","9.1.4","65","","","","0"
"2020/2021","Manitoba","2016A000246","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112209","9.1.5","19","","","","0"
"2020/2021","Manitoba","2016A000246","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112210","9.1.6","16","","","","0"
"2020/2021","Manitoba","2016A000246","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112211","9.1.7","5","","","","0"
"2020/2021","Manitoba","2016A000246","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112212","9.2.1","1717201","","","","0"
"2020/2021","Manitoba","2016A000246","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112213","9.2.2","92","","","","0"
"2020/2021","Manitoba","2016A000246","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112214","9.2.3","64","","","","0"
"2020/2021","Manitoba","2016A000246","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112215","9.2.4","34","","","","0"
"2020/2021","Manitoba","2016A000246","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112216","9.2.5","30","","","","0"
"2020/2021","Manitoba","2016A000246","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112217","9.2.6","36","","","","0"
"2020/2021","Manitoba","2016A000246","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112218","9.2.7","8","","","","0"
"2020/2021","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112219","9.3.1","585689","","","","0"
"2020/2021","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112220","9.3.2","92","","","","0"
"2020/2021","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112221","9.3.3","67","","","","0"
"2020/2021","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112222","9.3.4","36","","","","0"
"2020/2021","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112223","9.3.5","31","","","","0"
"2020/2021","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112224","9.3.6","33","","","","0"
"2020/2021","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112225","9.3.7","8","","","","0"
"2020/2021","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112226","9.4.1","1131512","","","","0"
"2020/2021","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112227","9.4.2","93","","","","0"
"2020/2021","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112228","9.4.3","63","","","","0"
"2020/2021","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112229","9.4.4","33","","","","0"
"2020/2021","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112230","9.4.5","30","","","","0"
"2020/2021","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112231","9.4.6","37","","","","0"
